name,osc1 shape,osc1 fm modulation,osc2 shape,osc2 pitch,osc2 tune,osc2 kbd track,osc mix,osc sync,osc ring modulation,osc pulse width,osc key shift,osc mod env on/off,osc mod env amount,osc mod env attack,osc p.env decay,filter type,filter attack,filter decay,filter sustain,filter release,filter freq,filter resonance,filter amount,filter kbd track,filter distortion,filter velocity switch,amp attack,amp decay,amp sustain,amp release,amp gain,amp velocity sens.,arp. on/off,arp type,arp range,arp beat,arp gate,delay on/off,delay time,delay feedback,delay level,chorus on/off,chorus type,chorus delay time,chorus depth,chorus rate,chorus feedback,chorus level,equalizer tone,equalizer freq.,equalizer level,equalizer Q,play mode type,play mode portament,pitch bend range,wheel lfo1 depth sens.,lfo1 on/off,lfo1 destination,lfo1 type,lfo1 speed,lfo1 depth,lfo2 on/off,lfo2 destination,lfo2 type,lfo2 speed,lfo2 depth
 new dawn,0,61,2,64,81,1,60,0,0,63,-12,0,70,15,35,0,103,84,74,127,0,0,99,6,0,1,0,108,94,90,118,22,0,4,3,0,0,1,7,68,20,1,2,63,80,48,18,88,64,64,64,64,1,19,16,58,1,6,1,4,59,1,3,5,49,28
 extrm acid house,1,0,1,51,66,1,127,0,1,102,-6,1,127,0,36,0,22,72,63,64,0,112,127,64,57,1,0,64,102,47,127,0,0,4,3,0,0,1,8,64,2,1,2,36,85,40,0,38,64,29,76,6,0,9,12,114,1,3,5,17,6,1,3,1,34,64
 cinematicah,0,85,3,64,66,1,11,0,1,64,-12,0,36,0,44,0,0,64,32,64,28,114,36,64,38,0,0,86,10,0,79,22,0,4,3,0,0,1,13,40,23,1,2,64,105,119,91,111,68,0,109,30,2,41,12,127,1,6,1,67,36,1,3,1,84,99
 pickup voxbox,0,100,2,51,70,1,63,0,0,98,0,1,122,6,2,0,0,69,60,98,0,89,100,63,0,1,0,11,95,93,127,63,0,4,3,0,0,1,3,39,8,1,1,63,118,5,0,63,63,6,106,6,0,20,12,103,1,3,5,61,31,1,5,1,17,82
 brasstring,1,0,1,51,72,1,63,0,1,0,-6,1,64,0,62,0,60,87,84,80,12,33,127,64,42,1,0,73,95,78,76,21,0,4,3,0,0,1,5,8,16,1,2,51,107,35,10,76,51,0,114,6,1,19,12,106,1,5,1,8,14,1,3,5,9,17
 minimoog ,0,0,1,64,65,1,64,0,0,127,-20,1,127,0,0,0,0,85,0,24,20,99,43,0,34,0,0,83,84,45,127,0,0,4,3,0,0,1,5,31,2,1,2,0,27,42,36,3,64,64,81,64,1,0,12,127,1,3,1,6,42,1,5,1,65,4
 booombastick ,0,0,3,34,66,1,127,0,0,127,6,1,127,0,51,1,0,99,100,97,0,75,99,0,113,0,0,84,109,82,51,22,0,4,3,1,0,1,12,64,19,1,2,53,105,51,60,13,24,0,105,57,1,66,12,127,1,1,1,48,51,1,3,5,98,96
 strong colour,2,19,2,64,63,1,63,1,0,124,-18,1,0,0,120,1,0,75,38,14,0,42,96,36,118,1,0,61,107,19,98,38,0,4,3,0,0,1,5,58,6,1,2,42,91,30,0,37,63,28,90,25,2,60,12,106,1,6,5,64,109,1,3,2,17,50
 phisic jaco,0,77,2,24,75,1,107,0,0,64,17,0,64,0,0,0,0,64,0,0,29,5,64,64,39,1,0,86,0,0,115,22,0,4,3,0,0,1,8,63,3,1,2,37,77,20,24,8,63,59,84,64,0,0,12,127,1,3,5,1,15,1,6,1,16,2
 windy bass,0,0,4,64,75,1,86,0,1,64,-12,1,127,0,36,0,0,66,68,119,6,115,87,64,76,1,0,67,69,67,10,0,0,4,3,0,0,1,7,3,10,1,2,10,83,22,98,127,63,21,114,12,1,21,12,127,1,3,5,75,30,1,5,4,71,34
 ufo -> lfo,0,0,2,91,66,1,62,0,1,121,-12,1,71,12,26,0,0,114,42,99,0,0,117,64,0,1,0,83,120,54,30,0,0,4,3,0,0,1,5,49,21,1,2,105,34,35,92,19,44,0,127,11,0,14,12,88,1,2,1,59,6,1,3,5,26,91
 underearth,0,78,3,64,66,1,114,0,1,119,-6,1,101,0,34,1,45,79,79,0,9,45,127,127,64,1,0,59,93,62,24,11,0,4,3,0,0,1,5,32,8,1,4,9,115,26,84,70,67,13,108,12,2,46,12,52,1,2,5,104,72,1,2,5,127,79
 wha wha wha wha,0,65,2,51,66,1,127,0,0,125,0,1,98,25,79,0,0,24,52,56,28,74,42,122,21,1,0,66,109,24,100,22,0,4,3,0,0,1,8,93,2,1,2,50,86,15,65,24,81,0,127,62,1,22,12,0,1,3,1,93,64,1,6,1,22,56
